,Balance,Goel,Talwar,Fruit,Meal ,Temple,Misc,Received
1st May,9000,,16,,,,,
,,10,,,,,,
,,10,,,,,,
,,20,,,,,,
,,,30,,,,,
,,37,,,,,,
,,11,,,,,,
,,,,30,,,,
,,,10,,,,,
2nd May,,30,,,,,,
,,,,,135,,,
,,51,,,,,,
,,10,,,,,,
,,,,,,,30,
3rd May,,,16,,,,,
,,,,35,,,,
,,15,,,,,,
,,,,,253,,,
,,,,,,,25,
,,,,,,,40,
,,,,,,,20,
,,11,,,,,,
,,,,,,,,100
,,,10,,,,,
4th May,,,,,,,24,
,,30,,,,,,
,,,40,,,,,
5th May,,,,,150,,,
,,29,,,,,,
,,,35,,,,,
,,30,,,,,,
6th May,,,,,145,,,
,,30,,,,,,
,,,,,,140,,
,,,,,,220,,
7th May,,,,35,,,,
,,10,,,,,,
,,15,,,,,,
,,10,,,,,,
,,,,,,,40,
,,,,,,,82,
8th May,,,,25,,,,
,,15,,,,,,
,,,30,,,,,
,,10,,,,,,
9th May,,,,35,,,,
,,15,,,,,,
,,,,35,,,,
,,15,,,,,,
,,,,,,,239,
,,,,,,,,250
10th May,,13,,,,,,
,,,,35,,,,
,,10,,,,,,
11th May,,22,,,,,,
,,,,35,,,,
,,31,,,,,,
,,,,,86,,,
,,,,,,,0,
,,20,,,,,,
,,20,,,,,,
,,,,,,,199,
