Open,High,Low,Close,Adj Close,Volume
135,137.5,131.5,132.899994,108.613777,5005
135,136,135,135.100006,110.411758,11206
140,140,130.600006,133.850006,109.390236,27650
132.449997,140,131.050003,139.399994,113.925972,38447
134.5,142,134.5,141.300003,115.478798,23221
137.300003,141,137,140.550003,114.865791,22509
137.5,138,135,136.850006,111.841957,23892
136,138.149994,133,134.399994,109.839691,109335
134.399994,136,133,134.449997,109.880554,32434
136,139.5,133.899994,138.649994,113.313057,89937
137.75,141,137.100006,138.949997,113.558212,10424
139,139.25,138,138.800003,113.435654,12989
139.600006,141,137.75,138.199997,112.94529,15122
138,140,138,139.350006,113.885132,17846
139.199997,139.199997,136.050003,137.949997,112.740959,248896
139.899994,141,135.899994,136.100006,111.229057,123920
135.399994,139,133.149994,133.699997,109.267601,9432
132.100006,139.5,130.149994,138.75,113.394722,2359983
138,139.800003,136,138,112.781815,18193
138.050003,139,137,137.149994,112.087128,43301
138.050003,138.050003,137,137,111.964546,271575
137.699997,138.949997,137,137.550003,112.414063,231459
138,140.699997,138,140.050003,114.457237,90521
141,145,138.199997,140.050003,114.457237,335063
140.449997,144.25,140.449997,143.050003,116.908966,55749
143,143.550003,141,142.800003,116.704689,35534
142,143.850006,137,138,112.781815,26747
137.5,137.5,131,134.050003,109.553627,26438
130.100006,135.800003,130.100006,132.850006,108.572922,54926
124.099998,139.949997,116.300003,139.25,113.803406,90659
144.899994,144.899994,134,137.050003,112.005417,9780
135,140.899994,133.100006,139.399994,113.925972,32359
133.649994,139.899994,132.199997,133.800003,109.349335,10748
137,137,129,130.350006,106.52977,25598
130.050003,134.699997,124,124.449997,101.707947,54819
124.5,132.5,124.5,126.800003,103.62851,12660
130,130.850006,127.199997,129.800003,106.080299,46802
128.100006,129.899994,126.099998,126.650002,103.505928,6763
115,133,114,129.550003,105.875977,23553
131.399994,133.899994,125.5,128.949997,105.385597,11344
129,130.949997,125,127.449997,104.159714,18946
125,127.5,124.400002,125.5,102.566063,26835
120,127.900002,120,124.75,101.95311,21242
124,127.800003,122.300003,122.599998,100.196037,20258
124.949997,125,115.300003,123.400002,100.849815,15696
121.050003,124.5,120.5,123.650002,101.054161,11907
124.949997,125.849998,122.5,125,102.15744,13458
122.099998,129,122.099998,123.25,100.727226,49391
122.5,124.75,120.099998,122.949997,100.482056,193839
124,124.099998,120.25,120.5,98.479782,6566
122,123.400002,120,121.449997,99.256165,307511
120.550003,123.400002,117.300003,118.5,96.845253,21353
122.800003,122.800003,117,117.550003,96.068863,4654
115.199997,122.599998,115.199997,119.449997,97.621651,20981
124.650002,128,124,125.75,102.770378,34942
123.099998,125.5,123.099998,124.650002,101.871391,5758
125,125,119.099998,119.75,97.866814,10307
120.199997,121.650002,120,120.050003,98.112,21249
120,120.650002,118.75,119.599998,97.744232,23252
120,121.699997,118,118.900002,97.172165,32640
118,120,115.050003,116.150002,94.924698,28110
116.099998,120,116.099998,117.099998,95.70108,21091
118.900002,121.099998,117.550003,119.800003,97.9077,22709
119,119,115,116.449997,95.169861,16830
118.25,119.650002,118,118.449997,96.804382,1346
117.099998,119.900002,117.099998,118.150002,96.559212,8815
118,120,118,119.599998,97.744232,8161
120.699997,121.25,118.599998,119.75,97.866814,33217
120,120,118,118.300003,96.681824,17004
119,119,116.300003,117,95.61937,8055
117,117.849998,116.25,117.050003,95.660233,38671
116.550003,119,116.5,117.150002,95.741959,9566
118.150002,119,117.25,117.949997,96.39576,3161
118.949997,122.900002,116.199997,122.449997,100.073425,18885
120.300003,123.150002,117.599998,118.099998,96.518356,10219
118,119.699997,117.5,118.199997,96.600075,5630
117.849998,119.400002,116.5,116.800003,95.455925,6590
118.099998,119.5,118,119.349998,97.53994,25119
120,123.400002,120,122.650002,100.236885,35744
120.5,123.5,120,122.550003,100.155167,19672
124,126,124,125.099998,102.239166,27360
125.25,128,124.5,127.449997,104.159714,52568
127.449997,129.899994,125.599998,129.449997,105.794258,31251
126.5,129.350006,126.5,128.550003,105.058716,13274
128.5,128.850006,126.050003,126.599998,103.465065,12477
126.099998,129.399994,125,126.199997,103.138145,3898
125,127,125,125.900002,102.892975,4336
140,140,126,129.949997,106.202881,36028
140,140,133.5,134.649994,110.043968,25960
135,136,133,135.350006,110.616089,28275
136,136,135,135.850006,111.024727,25687
136,136.5,135,136.050003,111.188156,42405
136,138.649994,136,138.25,112.986145,27471
139.949997,139.949997,134.5,136.899994,111.882828,76198
135,142,135,140.949997,115.192757,71612
140.5,149.899994,140.5,147.350006,120.42321,117544
146,148,141.100006,143.25,117.072418,71465
145.25,157.600006,144,155.399994,127.002113,179290
158,161,150.5,151.949997,124.182587,51280
153.899994,157,151.5,152.949997,124.99987,36766
